**********************************
LOGGING TIME: 20161112_211038
CLIENT IP: 192.168.88.1
USERNAME: Ramola
OS: Windows 8.1
*********************Neutral database**********************************
MM, 207, 41, 12
MM, 206, 41, 25
MM, 206, 42, 12
MC, 1, 317
MM, 203, 49, 209
MM, 197, 61, 12
MM, 21, 2, 304
MM, 19, 3, 12
MM, 15, 4, 13
MM, 7, 4, 12
MM, 32, 4, 24
MM, 23, 4, 12
MM, 16, 4, 13
MM, 13, 4, 12
MM, 12, 4, 12
MM, 11, 4, 12
MM, 12, 4, 232
MM, 13, 6, 12
MM, 14, 10, 12
MM, 16, 12, 12
MM, 20, 16, 12
MM, 22, 18, 13
MM, 25, 20, 12
MM, 26, 20, 12
MM, 26, 21, 12
MC, 1, 317
MM, 27, 21, 109
MM, 30, 21, 13
MM, 31, 22, 12
MM, 33, 23, 12
MM, 36, 25, 12
MM, 38, 25, 12
MM, 39, 28, 12
MM, 41, 29, 13
MM, 43, 30, 12
MM, 0, 0, 245
MM, 1, 0, 12
MM, 1, 1, 12
MM, 2, 2, 12
MM, 3, 3, 12
MM, 5, 5, 13
MM, 6, 6, 12
MM, 8, 7, 13
MM, 12, 8, 12
MM, 15, 11, 12
MM, 20, 12, 12
MM, 27, 13, 12
MM, 31, 14, 12
MC, 1, 316
MM, 33, 13, 98
MM, 13, 2, 24
MM, 40, 31, 13
MM, 34, 21, 13
MM, 14, 12, 11
MM, 33, 6, 13
MM, 1, 3, 12
MM, 14, 1, 12
MM, 25, 0, 12
MM, 31, 0, 12
MM, 35, 0, 12
MM, 36, 0, 13
MM, 37, 0, 231
MM, 38, 0, 12
MM, 39, 0, 12
MM, 1, 28, 74
MM, 9, 23, 12
MM, 16, 19, 12
MM, 21, 16, 12
MM, 25, 15, 12
MM, 27, 14, 12
MM, 28, 13, 10
MM, 29, 13, 27
MM, 29, 12, 36
MM, 29, 11, 25
MM, 30, 10, 25
MM, 31, 10, 13
MM, 31, 9, 12
MC, 1, 363
MM, 28, 9, 112
MM, 26, 9, 12
MM, 21, 9, 12
MM, 9, 9, 12
MM, 34, 9, 25
MM, 22, 9, 12
MM, 2, 9, 12
MM, 33, 9, 13
MM, 21, 9, 12
MM, 10, 9, 12
MM, 5, 9, 12
MM, 0, 9, 13
MC, 1, 914
MM, 30, 1, 170
MM, 3, 15, 13
MM, 21, 28, 13
MM, 25, 0, 12
MM, 33, 6, 12
MM, 38, 9, 12
MM, 40, 11, 12
MM, 43, 12, 12
MM, 0, 18, 61
MM, 5, 19, 12
MM, 14, 22, 12
MM, 23, 24, 12
MM, 28, 24, 12
MM, 31, 25, 12
MM, 33, 25, 12
MM, 34, 25, 26
MM, 34, 24, 110
MM, 34, 23, 12
MM, 34, 22, 12
MM, 33, 21, 24
MM, 31, 21, 12
MM, 30, 21, 25
MC, 1, 365
MM, 27, 17, 122
MM, 24, 10, 12
MM, 20, 1, 12
MM, 16, 31, 12
MM, 13, 26, 12
MM, 11, 23, 13
MM, 10, 20, 12
MM, 10, 19, 12
MM, 9, 19, 13
MM, 8, 18, 12
MM, 8, 17, 12
MM, 7, 16, 12
MM, 7, 15, 13
MM, 6, 14, 12
MM, 5, 12, 24
MM, 4, 10, 13
MM, 3, 6, 12
MM, 1, 3, 12
MC, 1, 597
MM, 10, 19, 219
MM, 23, 17, 13
MM, 34, 17, 12
MM, 43, 16, 12
MM, 3, 14, 25
MM, 6, 13, 12
MM, 10, 13, 12
MM, 12, 12, 12
MM, 14, 12, 12
MM, 16, 12, 13
MM, 19, 11, 12
MM, 24, 8, 12
